stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
SJVN Ltd.,20.65,20.80,4.35,10.41,10.00,21.50,4.78,7.26,28.60,0.72,18.3,2655.77,2229.97,2468.66,2498.49,2817.53,3.1,2.87,3.73,3.4,4.05,3929.8,3929.8,4136.63,4136.63,4136.63,1364.29,1224.88,1544.14,1408.48,1676.75
Xpro India Ltd.,15.10,15.25,0.78,-,10.00,0.00,19.55,9.49,68.87,0.22,0.0,346.08,304.37,311.36,274.27,257.98,1.94,8.93,-10.42,-28.76,-11.93,11.81,11.81,11.66,11.66,11.66,2.29,10.46,-12.15,-35.16,-13.92
JSW Energy Ltd.,42.75,43.15,2.62,2.34,10.00,10.00,16.47,7.26,61.92,0.69,11.0,5118.33,4212.05,4040.97,5862.63,6331.95,1.53,-2.71,1.2,7.27,6.06,1640.87,1640.05,1627.95,1626.79,1640.05,251.45,-444.28,194.75,1182.07,994.55
NLC India Ltd.,43.05,43.05,9.46,10.52,10.00,45.30,4.55,7.26,90.23,0.48,44.34,7145.92,8496.2,8672.84,6669.05,6087.68,4.52,12.42,21.21,7.18,9.42,1386.64,1528.57,1528.57,1677.71,1677.71,1266.97,1848.78,2368.81,1204.15,1579.68
IndiGrid InvIT Fund Ltd.,90.85,91.40,-,-,99.39,0.00,-,9.69,98.50,0.92,0.0,555.23,323.95,0.0,7.44,9.25,0.0,2838.0,2838.0,0.0,211.24,262.49,0.0
Gujarat Industries Power Co. Ltd.,49.45,49.10,23.07,5.86,10.00,29.00,2.13,7.26,169.96,0.29,27.0,1407.35,1363.95,1310.56,1351.86,1214.66,11.66,16.17,15.16,12.46,8.35,151.25,151.25,151.25,151.25,151.25,176.4,244.5,229.24,188.41,126.31
Amco India Ltd.,16.25,,4.4,-,10.00,0.00,3.69,8.78,68.18,0.24,0.0,79.93,67.99,51.07,46.09,61.22,1.84,2.5,4.08,2.77,-2.21,4.11,4.11,4.11,4.11,4.11,0.76,1.03,1.68,1.14,-0.91
RattanIndia Power Ltd.,1.40,1.40,3.56,-,10.00,0.00,0.39,7.26,7.70,0.18,0.0,1909.27,2015.38,1334.5,2774.98,617.32,-9.45,-1.42,-1.08,0.39,-1.21,2952.93,2952.93,2952.93,2952.93,2952.93,-2791.54,-418.38,-320.52,116.68,-339.83
Sterling & Wilson Solar Ltd.,80.50,80.00,13.19,-,1.00,0,6.07,12.64,27.38,2.94,0.0,8210.38,0.0,12.23,0.0,16.04,0.0,196.15,0.0
Indian Energy Exchange Ltd.,127.80,129.60,5.63,-,1.00,0.00,23.02,21.75,12.34,10.36,200.0,254.08,230.45,203.91,175.03,144.78,5.47,44.61,37.78,34.01,29.47,30.19,30.16,30.33,30.33,30.33,165.04,131.69,113.57,100.34,90.02
PTC India Ltd.,39.25,39.35,10.47,10.19,10.00,40.00,3.76,7.26,112.44,0.35,31.4,13495.65,18189.04,14074.83,12798.72,13081.65,8.86,10.78,9.83,7.89,6.86,296.01,296.01,296.01,296.01,296.01,262.32,319.2,290.87,233.61,203.1
Nava Bharat Ventures Ltd.,36.85,36.50,7.14,4.07,2.00,75.00,5.11,7.26,164.94,0.22,120.0,1358.71,1309.54,979.34,989.27,1152.94,10.02,9.19,4.65,12.46,15.96,35.73,35.73,35.72,17.87,17.87,166.19,161.56,82.98,111.22,142.47
Jaiprakash Power Ventures Ltd.,0.68,0.65,-,-,10.00,0.00,-,7.26,14.37,0.05,0.0,3732.4,3381.31,2791.63,3883.68,3944.13,-0.63,-0.88,-2.31,-0.7,0.47,5996.0,5996.0,5996.0,2938.0,2938.0,-377.88,-527.31,-760.61,-231.8,137.21
Urja Global Ltd.,0.97,0.95,0.03,-,1.00,0.00,31.67,11.55,2.46,0.39,0.0,129.98,126.3,118.15,120.85,116.63,0.03,0.02,0.02,0.02,0.04,50.72,50.72,50.72,50.72,50.72,1.32,1.14,1.03,1.04,0.19
BF Utilities Ltd.,147.50,147.40,0.21,-,5.00,0.00,701.9,7.26,34.01,4.34,0.0,17.8,14.85,21.25,19.07,23.47,7.21,4.2,1.95,1.41,0.34,18.83,18.83,18.83,18.83,18.83,27.17,15.82,7.35,5.31,1.29
Reliance Infrastructure Ltd.,10.60,10.70,-,-,10.00,0.00,-,7.26,543.40,0.02,70.0,986.08,8975.3,8771.5,9773.03,10535.56,-34.73,63.29,20.25,21.55,58.31,263.03,263.03,263.03,263.03,263.03,-913.39,1664.37,1288.41,994.08,1533.39
GVK Power & Infrastructure Ltd.,2.22,2.25,0.74,-,1.00,0.00,3.04,7.26,11.68,0.19,0.0,23.21,16.54,28.16,27.18,26.28,0.72,-0.23,-1.72,-0.82,-0.82,157.92,157.92,157.92,157.92,157.92,113.94,-36.08,-271.01,-129.61,-129.83
CESC Ltd.,392.90,393.15,73.7,4.45,10.00,175.00,5.33,7.26,736.54,0.53,117.0,7754.0,7773.0,7220.0,6796.0,6189.0,70.69,65.77,62.14,61.27,54.51,133.0,133.0,133.0,133.0,133.0,937.0,871.0,863.0,845.0,698.0
Reliance Power Ltd.,1.28,1.30,-,-,10.00,0.00,-,7.26,45.83,0.03,2.0,43.38,44.27,48.06,56.09,136.2,-2.15,0.01,0.23,4.63,0.09,2805.13,2805.13,2805.13,2805.13,2805.13,-601.66,2.25,64.26,1298.23,25.1
KSK Energy Ventures Ltd.,0.33,0.35,-,-,10.00,0.00,-,7.26,47.26,0.01,0.0,1.74,2.49,19.85,21.79,43.53,-17.26,-9.05,-2.06,-1.35,-0.26,423.99,423.99,423.99,423.99,422.25,-731.95,-383.53,-87.5,-55.65,-5.87
Adani Power Ltd.,26.80,26.80,-,-,10.00,0.00,-,7.26,23.67,1.13,0.0,2404.2,8249.26,11017.97,12875.27,10624.61,-1.24,-0.06,-17.48,0.32,-0.24,3856.94,3856.94,3856.94,3333.94,2871.92,-225.23,-23.77,-6054.34,96.54,-68.63
Indowind Energy Ltd.,1.75,1.85,-,-,10.00,0.00,-,7.26,22.24,0.08,0.0,20.56,24.24,23.94,15.6,18.99,-1.37,-2.34,0.18,0.08,0.02,89.74,89.74,89.74,89.74,89.74,-12.26,-21.01,1.63,0.73,0.22
RattanIndia Infrastructure Ltd.,2.00,1.95,-,-,2.00,0.00,-,10.47,4.90,0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.03,0.0,0.0,276.45,276.45,276.45,276.45,265.29,-0.8,-1.9,-5.11,0.62,0.6
Welcon International Ltd.,7.84,,0.03,-,1.00,0.00,261.33,7.26,2.05,3.82,0.0,15.89,8.82,11.73,9.9,0.1,0.05,0.39,0.08,0.13,0.03,2.03,2.03,2.02,2.03,2.03,0.1,0.8,0.16,0.03,0.01
S E Power Ltd.,1.90,1.55,-,-,10.00,0.00,-,7.26,5.98,0.32,0.0,18.29,15.66,12.52,9.49,5.53,-1.68,-1.27,-1.08,-0.61,-0.86,40.61,40.61,40.61,40.61,40.61,-6.83,-5.18,-4.41,-2.47,-3.48
Energy Development Company Ltd.,4.45,4.45,-,11.24,10.00,5.00,-,7.26,35.05,0.13,5.0,13.34,40.23,103.21,133.75,21.76,-1.65,0.29,0.66,0.46,0.5,47.5,47.5,47.5,47.5,27.5,-7.84,1.39,3.15,1.61,1.38
Veer Energy and Infrastructure Ltd.,6.04,,-,-,10.00,0.00,-,7.26,53.99,0.11,2.4,16.61,14.19,17.72,49.02,47.73,0.96,2.22,1.53,2.11,0.26,11.51,11.51,7.86,7.11,7.11,1.1,2.55,1.2,1.5,1.85
Gita Renewable Energy Ltd.,5.65,,-,-,10.00,0.00,-,7.26,48.12,0.12,0.0,0.36,0.08,0.0,3.06,4.13,-0.46,-4.92,-3.54,2.65,-3.79,4.11,4.11,4.11,4.11,4.11,-1.87,-2.02,-1.46,1.09,-1.56
Orient Green Power Company Ltd.,1.52,1.50,0.23,-,10.00,0.00,6.52,7.26,9.80,0.16,0.0,31.08,0.0,0.0,48.69,44.1,-0.08,-1.78,-1.52,-2.57,-4.2,750.72,750.72,739.8,739.8,568.08,-6.49,-131.58,-112.36,-168.51,-238.63
Jain Irrigation Systems Ltd.,3.37,3.35,-,29.67,2.00,50.00,-,0.80,95.03,0.04,37.5,4442.76,4288.95,3710.24,4273.94,4241.75,4.55,5.45,3.18,0.88,1.07,103.13,103.13,95.89,95.3,92.48,234.51,281.08,163.8,61.15,49.39
Astral Poly Technik Ltd.,955.05,951.60,13.83,0.07,1.00,70.00,68.81,31.15,76.52,12.48,51.5,1915.71,1609.7,1474.77,1318.02,1252.65,11.76,9.94,8.9,6.12,6.03,11.98,11.98,11.98,11.98,11.84,141.45,119.02,106.63,72.85,68.84
Finolex Industries Ltd.,380.80,380.75,29.0,2.63,10.00,100.00,13.13,31.15,203.75,1.87,87.0,3091.32,2737.79,2987.64,2452.83,2476.15,28.19,24.06,28.38,18.82,3.85,124.1,124.1,124.1,124.1,124.1,349.8,298.54,352.18,233.59,47.78
Kisan Mouldings Ltd.,7.54,,-,-,10.00,0.00,-,31.15,48.52,0.16,0.0,490.3,473.6,435.48,464.42,448.98,-2.87,0.0,-0.61,-7.54,-18.62,33.86,33.86,28.86,20.33,20.33,-9.72,0.12,-1.77,-15.32,-37.84
Kriti Industries (India) Ltd.,11.68,,2.62,1.28,1.00,15.00,4.46,31.15,17.19,0.68,12.6,568.65,427.64,364.72,462.56,362.32,1.33,1.86,1.79,2.36,0.54,4.96,4.96,4.96,4.96,4.96,6.62,9.22,8.87,11.69,2.69
Texmo Pipes and Products Ltd.,8.85,8.65,1.52,-,10.00,0.00,5.69,31.15,57.49,0.15,0.0,309.86,245.48,260.09,257.87,243.98,1.33,0.11,-0.21,1.57,1.39,25.04,25.02,23.82,23.82,23.82,3.34,0.28,-0.49,3.74,3.31
Prince Pipes & Fittings Ltd.,101.95,101.80,10.48,-,10.00,0.00,9.71,31.15,38.24,2.67,0.0,1571.87,1315.04,1246.5,1008.99,957.19,9.26,8.17,6.9,6.48,3.57,90.02,90.02,45.01,48.01,48.01,83.35,73.5,65.17,31.11,17.16
Gujarat Pipavav Port Ltd.,55.70,54.90,6.11,6.28,10.00,35.00,8.99,9.93,41.80,1.33,25.2,701.98,648.9,683.1,659.95,679.03,4.24,4.1,5.17,4.9,6.84,483.44,483.44,483.44,483.44,483.44,205.63,198.46,249.91,236.66,320.4
Ashish Polyplast Ltd.,3.50,,0.52,-,10.00,0.00,6.73,31.15,13.75,0.25,0.0,13.95,12.82,12.22,11.1,10.66,0.33,0.64,0.47,0.3,0.34,3.4,3.4,3.4,3.4,3.4,0.11,0.22,0.16,0.1,0.12
Tijaria Polypipes Ltd.,4.10,4.05,0.58,-,10.00,0.00,6.98,31.15,8.13,0.50,0.0,149.53,76.3,63.63,87.14,69.28,2.34,-10.33,-8.85,-6.18,0.0,26.72,23.63,23.63,23.63,23.63,6.19,-24.41,-20.92,-14.6,-9.15
Dredging Corporation India Ltd.,145.00,144.65,43.21,2.07,10.00,30.00,3.35,24.85,564.79,0.26,22.0,691.74,591.87,585.87,665.86,734.96,15.92,5.94,2.54,28.45,22.29,28.0,28.0,28.0,28.0,28.0,44.59,17.14,7.4,79.67,62.41
Indiamart Intermesh Ltd.,2024.00,2024.35,42.95,-,10.00,0.00,47.13,400.45,55.67,36.36,0.0,529.66,407.2,320.5,246.25,172.89,4.4,-72.61,-14.29,-47.06,-20.7,28.59,9.98,9.17,9.17,9.17,12.59,-72.44,-13.1,-43.15,-18.98
Kunststoffe Industries Ltd.,4.00,,0.04,-,10.00,0.00,100,19.41,11.13,0.36,0.0,11.98,10.69,3.23,2.45,1.6,0.74,0.26,0.43,0.09,0.04,6.89,6.89,6.89,6.89,6.89,0.51,0.18,0.29,0.06,0.29
JAIN IRRIGATION SYSTEMS Ltd.,3.44,3.30,-,29.07,2.00,50.00,-,0.80,95.03,0.04,37.5,4442.76,4288.95,3710.24,4273.94,4241.75,4.55,5.45,3.18,0.88,1.07,103.13,103.13,95.89,95.3,92.48,234.51,281.08,163.8,61.15,49.39
DB Corp Ltd.,79.95,79.10,17.45,12.51,10.00,100.00,4.53,6.98,104.71,0.76,67.5,2462.7,2328.48,2257.43,2050.74,2009.02,15.33,17.64,20.41,16.34,17.27,174.91,184.03,183.9,183.74,183.65,273.93,324.46,377.31,300.25,316.98
CARE Ratings Ltd.,334.00,334.80,34.35,8.98,10.00,300.00,9.75,21.93,186.57,1.79,440.0,297.36,321.61,280.48,264.84,257.21,45.82,54.1,51.49,40.49,48.39,29.46,29.46,29.45,29.4,29.0,134.99,161.03,151.51,117.69,140.33
Jagran Prakashan Ltd.,45.40,45.20,10.25,7.71,2.00,175.00,4.41,6.98,47.21,0.96,130.0,1939.88,1897.95,1900.08,1804.02,1661.72,7.3,8.52,9.67,7.8,6.84,59.28,62.28,65.38,65.38,65.38,219.91,266.01,316.06,255.02,223.55
Navneet Education Ltd.,62.00,62.15,9.52,1.61,2.00,50.00,6.53,6.98,38.10,1.63,94.0,1360.54,1132.24,1098.31,931.12,959.37,7.67,6.56,6.81,5.37,4.43,45.77,46.71,46.71,47.64,47.64,177.47,153.21,161.64,127.8,129.3
CRISIL Ltd.,1212.00,1209.55,36.74,2.64,1.00,3200.00,32.92,21.93,104.70,11.58,2800.0,1178.68,1181.99,1181.55,1132.43,958.4,36.86,38.6,33.19,35.87,31.16,7.23,7.21,7.17,7.13,7.12,266.29,277.53,237.26,255.66,222.01
Repro India Ltd.,335.00,331.50,20.65,-,10.00,0.00,16.05,6.98,227.27,1.47,26.0,261.45,232.89,291.79,374.7,395.07,23.25,27.12,-2.62,-7.33,18.11,11.5,11.5,10.9,10.9,10.9,26.73,30.21,-2.86,-8.0,19.75
Kokuyo Camlin Ltd.,41.80,41.60,0.92,-,1.00,0.00,45.22,6.98,24.81,1.68,0.0,688.77,629.64,640.28,614.19,543.88,1.52,0.98,0.1,0.52,0.49,10.03,10.03,10.03,10.03,10.03,15.2,9.82,0.96,5.26,4.92
Nova Publications India Ltd.,16.70,,0.08,-,10.00,0.00,208.75,3.70,10.13,1.65,0.4,1.7,7.39,6.08,3.39,2.48,-0.12,0.13,0.25,0.12,0.09,3.15,3.15,3.15,3.15,3.15,-0.04,0.04,0.08,0.04,0.03
HT Media Ltd.,10.25,10.20,-,3.90,2.00,20.00,-,6.98,69.70,0.15,20.0,1301.73,1388.65,1432.04,1525.69,1452.82,-5.97,9.18,2.64,4.64,4.88,46.55,46.55,46.55,46.55,46.1,-138.94,213.74,61.51,107.99,113.67
Linc Pen and Plastics Ltd.,139.50,143.50,10.03,1.08,10.00,15.00,14.31,6.98,83.01,1.68,23.0,366.94,331.89,360.91,344.14,318.3,3.69,5.3,11.61,12.39,9.69,14.79,14.79,14.79,14.79,14.79,5.45,7.84,17.17,18.32,14.32
Hindustan Media Ventures Ltd.,38.35,38.45,14.85,3.13,10.00,12.00,2.59,6.98,188.72,0.20,12.0,865.83,880.1,933.27,918.53,818.58,9.8,23.33,26.38,24.6,19.19,73.39,73.39,73.39,73.39,73.39,71.9,171.22,193.6,180.56,140.86
MPS Ltd.,213.50,213.70,32.36,11.71,10.00,250.00,6.6,6.98,246.89,0.86,162.0,223.96,218.34,223.56,224.04,203.17,40.14,36.64,37.33,37.88,34.76,18.62,18.62,18.62,18.62,18.62,74.74,68.21,69.5,70.53,58.7
Mangalore Refinery and Petrochemicals Ltd.,23.55,23.45,-,4.25,10.00,10.00,-,13.59,61.21,0.38,20.0,62062.14,48450.58,43207.88,39647.44,57477.07,1.89,12.69,20.79,6.54,-9.77,1752.6,1752.6,1752.6,1752.6,1752.66,331.95,2224.12,3643.68,1146.94,-1712.23
Krishna Ventures Ltd.,17.90,,-,-,10.00,0.00,-,24.85,11.52,1.55,0.0,0.07,0.04,0.36,0.91,2.34,-0.21,-0.43,0.02,0.17,0.74,10.8,10.8,10.8,10.8,10.8,-0.22,-0.46,0.02,0.18,0.8
Cimmco Ltd.,10.56,10.90,13.83,-,10.00,0.00,0.79,9.14,62.52,0.17,0.0,257.19,133.93,118.39,67.19,32.1,10.16,-8.53,-5.24,-5.87,-12.79,27.35,27.35,20.15,20.15,20.15,27.81,-23.32,-10.55,-11.83,-25.78
S V Global Mill Ltd.,30.20,,-,-,5.00,0.00,-,13.32,32.84,0.92,0.20800000000000002,1.01,10.65,0.0,0.0,0.0,-8.29,2.53,0.65,6.4,60.24,9.04,11.16,11.16,11.16,11.16,-18.47,5.66,1.46,14.28,143.22
Gala Global Products Ltd.,44.50,,0.64,-,5.00,0.00,69.53,6.98,6.72,6.62,0.0,99.65,83.35,26.46,21.67,13.88,0.62,0.49,0.56,0.3,0.41,27.29,25.07,4.76,4.76,3.49,3.38,2.58,0.27,0.13,0.11
S Chand and Company Ltd.,40.45,39.80,-,-,5.00,0.00,-,10.18,234.97,0.17,111.0,194.4,343.99,301.35,279.56,234.83,-8.87,14.76,9.08,6.04,3.01,17.49,17.49,14.92,0.2,0.22,-31.02,50.76,27.1,16.48,7.69
Titagarh Wagons Ltd.,27.40,26.90,-,1.09,2.00,15.00,-,9.14,69.28,0.40,30.0,910.11,313.96,349.18,311.48,378.0,-7.17,0.25,1.67,0.52,4.91,23.11,23.1,23.08,23.08,20.06,-82.87,2.92,19.28,6.31,9.86
Vesuvius India Ltd.,798.90,784.10,42.15,1.09,10.00,87.40,18.6,17.19,396.36,2.02,70.48,887.04,925.07,911.27,821.51,699.72,42.15,45.59,46.54,42.92,36.26,20.3,20.3,20.3,20.3,20.3,85.55,92.52,94.45,87.11,73.59
Chennai Petroleum Corporation Ltd.,59.15,59.60,-,-,10.00,0.00,-,13.59,222.25,0.27,87.0,41338.39,32527.29,27691.53,25994.16,41886.18,-14.33,61.31,69.15,48.96,-2.62,148.91,149.0,149.0,149.0,149.0,-213.36,912.92,1029.75,770.68,-38.99
General Insurance Corporation of India Ltd.,104.25,105.30,-,6.47,5.00,135.00,-,8.27,181.08,0.58,168.11599999999999,4189.88,3895.85,3626.97,2994.36,2865.88,12.68,37.27,33.23,30.87,32.59,877.2,438.6,430.0,430.0,430.0,2224.31,3233.59,2857.85,2654.92,2802.69
Trent Ltd.,469.80,465.70,4.72,0.28,1.00,130.00,98.67,45.98,47.80,9.83,107.0,2531.68,2066.29,1738.06,1500.56,1358.0,3.84,3.51,3.22,23.43,30.1,33.23,33.23,33.23,33.23,33.23,127.49,116.72,106.86,77.85,100.03
Shoppers Stop Ltd.,192.00,193.05,0.38,0.39,5.00,15.00,508.03,83.09,111.09,1.73,15.0,3481.31,3591.49,3648.04,3413.2,3041.99,8.95,1.37,-12.39,3.02,4.89,44.0,43.98,41.75,41.73,41.68,78.75,11.6,-19.94,25.18,40.74
Arvind Fashions Ltd.,137.45,137.45,2.01,-,4.00,0.00,68.38,25.76,208.66,0.66,0.0,1009.9,1000.94,292.29,0.0,0.0,10.64,9.4,-0.72,-0.23,0.0,23.2,23.17,21.74,0.01,0.0,61.51,53.39,-3.54,0.0,0.0
Aditya Birla Fashion & Retail Ltd.,148.00,149.55,2.55,-,10.00,0.00,58.65,45.98,18.47,8.01,0.0,8117.72,7172.07,6602.86,6060.05,1850.73,4.15,1.52,0.69,-1.35,-24.59,773.48,771.69,770.53,768.84,92.79,321.22,117.79,53.5,-104.14,-228.14
Orient Abrasives Ltd.,11.60,11.30,1.75,2.16,1.00,25.00,6.46,27.06,17.40,0.67,25.0,312.97,323.68,219.75,286.3,182.91,1.35,1.42,0.58,1.97,1.03,11.97,11.97,11.97,11.97,11.97,16.17,16.99,6.92,23.61,12.31
V2 Retail Ltd.,54.20,54.10,7.61,-,10.00,0.00,7.11,45.98,85.28,0.64,0.0,748.42,559.4,471.42,319.94,286.77,6.02,9.62,5.21,4.96,4.13,34.07,33.92,30.92,24.89,23.58,20.49,31.08,37.26,12.17,9.75
Spencer Retail Ltd.,77.00,77.10,-,-,5.00,0.00,-,83.09,75.00,1.03,0.0,2187.19,0.0,1.0,0.0,39.77,0.0,7.94,0.0
V-Mart Retail Ltd.,1472.75,1465.80,31.33,0.12,10.00,17.00,46.79,83.09,223.38,6.59,15.4,1433.74,1222.37,1001.73,809.38,720.5,34.01,42.94,21.82,14.79,20.78,18.13,18.1,18.07,18.07,18.02,61.63,77.7,39.53,27.63,37.37
Future Market Networks Ltd.,9.00,8.95,2.12,-,10.00,0.00,4.22,13.32,36.57,0.25,0.0,103.79,79.41,82.5,73.17,72.06,1.71,0.32,-4.28,-0.37,-9.54,56.29,56.29,56.21,56.17,55.85,9.64,1.8,-24.06,-15.07,-53.3
White Organic Retail Ltd.,108.00,,-,-,10.00,0.00,-,8.56,42.34,2.55,0.0,160.36,82.93,2.49,1.06,1.06,0.6,42.01,567.63,238.9,212.22,3.0,0.01,0.01,0.01,0.01,1.79,3.02,0.57,0.24,0.21
IFGL Refractories Ltd.,94.00,90.85,8.6,2.66,10.00,25.00,10.56,17.19,140.41,0.67,17.0,479.13,443.28,374.01,46.53,334.68,7.2,6.27,4.82,22.47,7.54,36.04,36.04,2.92,2.16,34.61,25.96,22.58,17.39,6.55,26.86
Future Retail Ltd.,74.85,74.40,13.42,-,2.00,0.00,5.54,83.09,73.13,1.02,0.0,20164.9,18477.97,17075.09,6860.47,1849.45,14.58,12.45,7.81,0.66,-107.24,100.52,100.4,94.36,8.7,1398.66,732.81,11.31,368.28,14.55,-379.21
Morganite Crucible (India) Ltd.,1475.00,,40.47,1.08,10.00,160.00,36.45,17.19,354.29,4.16,90.0,120.14,107.37,89.23,88.67,88.7,54.88,49.59,47.02,35.27,21.51,2.8,2.8,2.8,2.8,2.8,15.37,13.88,13.17,9.88,6.02
Orient Refractories Ltd.,119.00,116.75,7.73,2.10,1.00,250.00,15.1,17.19,31.32,3.80,207.0,747.95,626.79,519.39,458.88,451.36,7.48,7.14,5.71,4.65,4.4,12.01,12.01,12.01,12.01,12.01,89.83,85.83,68.62,55.82,52.84
Cochin Shipyard Ltd.,250.00,251.90,45.34,5.20,10.00,130.00,5.56,9.93,253.31,0.99,56.0,2962.16,2355.12,2059.49,1995.44,1859.51,35.72,31.03,27.56,24.38,20.75,131.54,135.94,113.28,113.28,113.28,481.18,396.75,312.18,276.14,235.07
Texmaco Rail and Engineering Ltd.,18.85,18.60,2.47,1.86,1.00,35.00,7.53,9.14,50.07,0.38,27.0,1858.16,926.89,1154.52,728.01,438.58,3.42,0.46,1.84,1.03,0.72,22.01,21.98,21.94,21.03,21.01,75.28,10.08,33.57,21.59,13.74
Great Eastern Shipping Company Ltd.,201.35,202.85,29.18,2.68,10.00,54.00,6.95,6.56,344.43,0.58,94.4,2651.27,2061.03,1703.96,1972.49,1734.08,-1.29,10.62,39.89,41.01,21.04,150.78,150.78,150.78,150.78,150.78,-19.47,160.19,601.39,618.28,317.3
Shipping Corporation of India Ltd.,36.90,36.55,5.04,-,10.00,0.00,7.25,6.56,149.88,0.25,0.0,3925.86,3469.47,3446.87,4112.39,4310.97,-2.62,5.45,2.91,8.1,4.31,465.8,465.8,465.8,465.8,465.8,-121.99,253.75,135.52,377.41,200.93
Essar Shipping Ltd.,5.06,5.30,-,-,10.00,0.00,-,6.56,9.60,0.53,0.0,491.92,643.41,664.07,728.7,791.14,-76.99,-8.61,-5.78,-5.53,-4.04,206.98,206.98,206.98,206.98,205.23,-1593.49,46.17,-119.28,-113.62,-83.0
Seamec Ltd.,276.40,280.35,55.59,-,10.00,0.00,5.04,6.56,136.63,2.02,2.0,303.83,193.6,207.57,327.92,349.72,30.17,0.11,-58.84,1.26,15.93,25.43,25.43,25.43,25.43,33.9,76.71,0.3,-149.59,3.89,54.02
Accelya Kale Solutions Ltd.,870.80,860.30,76.03,3.67,10.00,320.00,11.32,18.56,127.60,6.82,420.0,378.48,343.93,367.4,309.72,272.28,69.57,63.45,61.19,54.06,50.73,14.93,14.93,14.93,14.93,14.93,103.85,94.72,91.34,80.69,75.72
Hariyana Ship Breakers Ltd.,23.75,,-,-,10.00,0.00,-,9.93,215.24,0.11,0.0,377.3,156.15,275.45,365.7,236.34,13.22,15.91,15.34,12.04,22.93,6.17,6.17,6.17,6.17,6.17,8.14,9.81,9.46,7.43,14.14
Reliance Naval and Engineering Ltd.,1.54,1.45,-,-,10.00,0.00,-,9.93,-139.08,-,0.0,180.0,335.09,518.75,306.26,831.01,-142.1,-12.96,-7.11,-7.18,-5.01,737.59,737.59,736.21,736.21,736.21,-10481.05,-956.09,-523.43,-528.65,-369.09
VMS Industries Ltd.,8.00,,0.71,-,10.00,0.00,11.27,9.93,33.60,0.24,0.0,177.5,117.86,117.74,106.04,85.98,1.2,0.85,0.6,0.58,0.33,16.47,16.47,16.47,16.47,16.47,1.98,1.41,0.99,0.95,0.55
Future Enterprises Ltd.,8.28,8.25,1.16,-,2.00,0.00,7.11,45.98,86.84,0.10,9.0,4565.64,4184.8,3782.09,8339.56,10341.66,0.48,-0.25,0.92,0.26,2.75,98.71,98.67,94.57,85.57,82.84,24.02,-12.19,43.56,11.83,74.06
Tata Elxsi Ltd.,608.10,607.20,39.39,2.22,10.00,135.00,15.42,18.56,151.38,4.02,131.0,1596.93,1386.3,1233.04,1075.21,849.4,46.56,38.54,55.65,49.72,33.05,62.28,62.28,31.14,31.14,31.14,289.97,240.04,173.29,154.81,102.9
Garden Reach Shipbuilders & Engineers Ltd.,137.20,137.85,12.87,5.07,10.00,69.50,10.71,9.93,90.64,1.51,44.104,1386.42,1344.62,921.77,1658.08,1562.75,9.6,7.14,0.93,13.33,4.25,114.55,114.55,123.84,123.84,123.84,109.94,86.81,11.47,164.45,51.73
Tanla Solutions Ltd.,50.50,50.25,-,0.69,1.00,35.00,-,18.56,48.14,1.05,22.0,809.41,691.94,498.72,279.95,132.61,1.48,1.16,-0.06,0.82,0.3,11.56,11.24,10.75,10.15,10.15,17.08,13.09,-0.63,8.32,3.07
Mercator Ltd.,0.54,0.60,-,-,1.00,0.00,-,6.56,8.36,0.06,7.0,311.96,405.67,538.33,588.31,659.42,-16.91,-6.52,-1.15,0.69,2.02,30.25,30.25,26.99,24.49,24.49,-511.45,-184.99,-30.55,16.87,49.55
Chowgule Steamships Ltd.,2.90,,0.56,-,10.00,0.00,5.18,6.56,31.65,0.09,0.0,0.06,0.12,0.52,5.55,7.42,-0.53,-1.11,-0.75,-2.15,-5.63,36.31,36.31,36.31,36.31,36.31,-1.93,-4.03,-2.74,-7.82,-20.44
Nucleus Software Exports Ltd.,178.00,178.60,26.06,5.06,10.00,90.00,6.85,18.56,161.89,1.10,64.0,396.76,337.32,299.35,278.17,279.04,26.04,21.47,15.99,13.79,18.76,29.04,29.04,32.39,32.39,32.39,75.63,65.6,51.78,44.66,60.74
Cigniti Technologies Ltd.,204.00,204.90,23.08,-,10.00,0.00,8.88,18.56,86.05,2.37,0.0,260.89,243.76,275.09,204.71,114.68,21.73,9.54,-80.94,12.8,1.54,27.66,27.25,26.51,25.5,24.74,59.71,25.41,-210.65,31.96,3.59
Ramco System Ltd.,73.00,73.05,15.56,-,10.00,0.00,4.69,18.56,263.52,0.28,0.0,315.69,284.98,277.94,267.26,224.77,16.97,21.6,16.81,8.17,0.68,30.63,30.58,30.44,30.03,24.44,51.89,65.84,50.68,24.01,1.56
Brightcom Group Ltd.,3.23,3.20,-,-,2.00,0.00,-,18.56,12.24,0.26,1.0,458.57,455.2,466.41,457.95,491.58,-0.07,-0.06,-0.06,0.01,0.04,95.25,95.25,95.25,95.25,95.25,-3.21,-2.94,-2.81,0.34,1.74
