stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Hero Motocorp Ltd.,1629.45,1639.65,187.39,5.34,2.00,4350.00,8.75,12.06,643.69,2.53,3990.0,33650.54,32230.49,28474.99,28442.7,27585.3,169.48,185.14,169.12,158.26,127.23,39.95,39.94,39.94,39.94,39.94,3384.87,3697.36,3377.12,3160.19,2385.64
Bandhan Bank Ltd.,194.85,194.90,19.61,1.54,10.00,30.00,9.94,25.52,72.16,2.70,8.0,16.03,12.26,10.15,3.4,0.0,1193.08,1192.8,1095.14,1095.14,0.0,1951.5,1345.56,1111.95,273.25,0.0
United Spirits Ltd.,463.20,462.85,11.11,-,2.00,0.00,41.66,39.72,43.10,10.75,0.0,8980.6,8170.1,8547.6,8248.2,8049.34,9.06,38.65,11.69,8.39,-134.62,145.3,145.33,145.3,145.33,145.33,658.6,561.7,169.9,121.9,-1956.48
GAIL India Ltd.,75.75,75.75,10.39,9.42,10.00,71.35,7.29,3.67,101.95,0.74,77.85,75126.3,53661.15,48148.85,51721.26,56741.98,26.72,20.48,20.71,13.16,23.96,2255.07,2255.07,1691.3,1268.48,1268.48,6025.67,4618.41,3502.91,2226.43,3039.17
Biocon Ltd.,278.30,278.40,3.41,0.18,5.00,10.00,81.64,28.81,59.30,4.69,50.0,2884.7,2419.2,2587.9,2301.8,2241.6,8.33,4.04,26.45,18.78,18.06,300.0,300.0,100.0,100.0,100.0,492.7,238.5,519.3,363.8,361.22
Procter and Gamble Hygiene and Health Care Ltd.,10439.95,10410.65,130.52,0.84,10.00,880.00,79.76,61.93,280.05,37.28,1166.5,2946.5,2455.29,2320.4,2484.33,2333.79,129.12,115.4,133.31,130.37,106.63,32.46,32.46,32.46,32.46,32.46,419.13,374.59,432.73,423.18,346.14
Havells India Ltd.,485.10,484.60,12.18,0.93,1.00,450.00,39.79,37.35,67.79,7.16,420.0,10057.62,8138.57,6135.26,5378.32,5238.69,12.66,11.4,8.63,11.4,7.45,62.55,62.51,62.49,62.46,62.44,791.52,712.52,539.04,712.03,464.94
Grasim Industries Ltd.,474.55,476.15,20.74,1.48,2.00,350.00,22.96,29.63,637.42,0.74,268.0,20550.43,15788.47,10345.65,8969.24,6332.58,7.84,29.2,33.42,20.8,57.69,131.53,131.48,93.37,93.36,91.87,515.3,1768.66,1560.0,970.64,529.9
Marico Ltd.,263.75,265.50,9.36,1.80,1.00,475.00,28.37,61.93,27.17,9.71,385.0,5971.0,5170.41,4850.75,4867.99,4681.2,8.78,5.58,6.55,5.37,8.45,129.09,129.09,129.05,129.02,64.5,1132.0,718.23,842.7,691.26,545.17
Cipla Ltd.,413.05,413.75,29.12,0.73,2.00,150.00,14.21,28.81,195.75,2.11,120.0,12374.01,11444.81,10974.58,12117.72,10131.78,23.45,18.25,12.13,18.21,14.71,161.14,161.02,160.9,160.68,160.59,1888.41,1468.52,974.94,1462.3,1181.09
